trade_date,open,high,low,close,atr,atr_pct
2009-12-22,4148.00,4153.60,4014.47,4024.34,109.7251,2.7265
2009-12-23,4016.97,4098.22,4016.97,4098.22,107.6912,2.6278
2009-12-24,4100.93,4236.27,4096.40,4229.80,109.9897,2.6004
2009-12-25,4227.10,4280.91,4208.57,4255.65,107.3004,2.5214
2009-12-28,4262.37,4326.27,4262.37,4326.27,104.6804,2.4196
2009-12-29,4330.13,4351.14,4280.41,4351.14,102.2553,2.3501
2009-12-30,4346.40,4360.52,4298.53,4336.61,99.3793,2.2916
2009-12-31,4337.55,4392.86,4334.14,4391.28,96.4750,2.1970
2010-01-04,4413.75,4436.06,4393.50,4406.77,92.7825,2.1055
2010-01-05,4411.28,4462.23,4378.10,4462.23,92.1645,2.0654
2010-01-06,4459.85,4499.51,4445.50,4452.87,89.4392,2.0086
2010-01-07,4440.11,4452.18,4345.05,4361.16,90.7521,2.0809
2010-01-08,4335.78,4417.79,4323.46,4417.77,91.0076,2.0600
2010-01-11,4445.60,4450.02,4398.06,4449.94,88.2185,1.9825
2010-01-12,4440.99,4541.60,4435.91,4541.60,89.4665,1.9699
2010-01-13,4447.51,4545.42,4430.01,4485.32,91.3196,2.0360
2010-01-14,4494.06,4609.30,4494.06,4609.30,93.6525,2.0318
2010-01-15,4617.90,4658.09,4617.86,4658.09,90.4480,1.9417
2010-01-18,4653.55,4734.05,4644.25,4734.05,90.4017,1.9096
2010-01-19,4736.71,4758.18,4695.72,4740.45,88.4059,1.8649
2010-01-20,4742.51,4744.69,4572.72,4586.75,94.3748,2.0576
2010-01-21,4586.21,4632.24,4545.29,4606.43,93.8444,2.0372
2010-01-22,4553.78,4560.12,4390.85,4471.28,102.5398,2.2933
2010-01-25,4439.89,4478.30,4404.22,4407.04,100.5070,2.2806
2010-01-26,4406.44,4429.23,4186.37,4226.94,110.6750,2.6183
2010-01-27,4219.65,4270.90,4171.26,4194.63,109.8868,2.6197
2010-01-28,4188.83,4252.35,4171.81,4248.04,107.7906,2.5374
2010-01-29,4227.87,4328.53,4212.45,4290.32,108.3827,2.5262
2010-02-01,4284.35,4287.38,4182.13,4239.99,108.3690,2.5559
2010-02-02,4248.43,4304.08,4222.17,4225.47,106.4790,2.5199
2010-02-03,4227.26,4304.84,4097.35,4304.84,113.6941,2.6411
2010-02-04,4283.90,4394.57,4262.71,4364.23,114.9917,2.6349
2010-02-05,4272.24,4341.20,4243.41,4281.78,115.4080,2.6953
2010-02-08,4272.28,4300.57,4253.32,4278.58,110.5395,2.5836
2010-02-09,4264.27,4299.84,4245.52,4277.33,106.5239,2.4904
2010-02-10,4294.83,4330.42,4282.90,4330.42,102.7072,2.3718
2010-02-11,4329.63,4337.32,4304.24,4307.13,97.7338,2.2691
2010-02-12,4311.89,4368.53,4311.89,4366.28,95.1385,2.1789
2010-02-22,4362.93,4422.33,4355.04,4392.69,93.1493,2.1206
2010-02-23,4389.42,4464.23,4353.05,4464.23,94.4372,2.1154
2010-02-24,4443.03,4559.66,4425.66,4559.66,97.2632,2.1331
2010-02-25,4566.04,4645.83,4563.95,4645.06,96.4708,2.0768
2010-02-26,4632.31,4676.42,4616.13,4653.34,93.8864,2.0176
2010-03-01,4656.98,4727.43,4656.98,4721.89,92.4724,1.9584
2010-03-02,4721.26,4736.49,4684.11,4724.64,89.6087,1.8966
2010-03-03,4716.52,4790.08,4710.67,4788.50,88.8802,1.8561
2010-03-04,4788.59,4812.36,4599.47,4617.85,97.7380,2.1165
2010-03-05,4613.45,4650.44,4563.11,4617.36,96.9946,2.1007
2010-03-08,4625.93,4685.49,4624.21,4676.44,94.9328,2.0300
2010-03-09,4671.06,4697.40,4625.14,4682.25,93.3134,1.9929
2010-03-10,4675.99,4696.87,4593.55,4630.01,94.0281,2.0308
2010-03-11,4624.90,4643.78,4560.09,4605.25,93.2897,2.0257
2010-03-12,4603.95,4613.17,4526.87,4532.08,92.7904,2.0474
2010-03-15,4523.61,4530.22,4468.32,4498.09,90.7168,2.0168
2010-03-16,4494.44,4555.31,4487.26,4555.31,89.0978,1.9559
2010-03-17,4566.41,4674.64,4562.89,4674.64,91.2572,1.9522
2010-03-18,4680.97,4702.18,4661.87,4686.25,87.6181,1.8697
2010-03-19,4685.39,4726.74,4675.29,4723.85,85.0347,1.8001
2010-03-22,4727.62,4767.16,4717.60,4766.94,82.5008,1.7307
2010-03-23,4764.46,4772.88,4722.23,4739.37,80.2257,1.6928
2010-03-24,4740.85,4764.17,4734.84,4750.99,76.5903,1.6121
2010-03-25,4738.48,4738.48,4673.92,4678.81,76.6246,1.6377
2010-03-26,4671.04,4745.96,4667.11,4742.47,76.7835,1.6191
2010-03-29,4754.34,4776.45,4730.68,4770.54,74.5683,1.5631
2010-03-30,4768.34,4804.22,4757.41,4800.45,72.5855,1.5121
2010-03-31,4796.98,4822.08,4785.14,4822.08,70.0394,1.4525
2010-04-01,4825.02,4904.30,4825.02,4904.30,70.9095,1.4459
2010-04-02,4905.15,4924.71,4890.60,4922.82,68.2809,1.3870
2010-04-06,4934.54,4946.53,4904.43,4942.33,66.4109,1.3437
2010-04-07,4934.03,4951.73,4910.69,4951.73,64.5987,1.3046
2010-04-08,4943.46,4973.17,4934.42,4956.37,62.7523,1.2661
2010-04-09,4956.02,5031.25,4956.02,5031.25,63.6436,1.2650
2010-04-12,5042.40,5088.29,5042.32,5088.29,63.1719,1.2415
2010-04-13,5085.98,5096.26,4863.93,4989.39,75.2546,1.5083
2010-04-14,4979.61,5074.68,4967.58,5074.68,77.5293,1.5278
2010-04-15,5072.44,5083.15,4982.38,5024.77,79.1894,1.5760
2010-04-16,5003.30,5060.51,4968.61,5019.35,80.0973,1.5958
2010-04-19,4970.82,5001.17,4805.14,4806.11,89.6767,1.8659
2010-04-20,4797.43,4875.36,4721.83,4875.09,94.2377,1.9330
2010-04-21,4875.59,5029.83,4875.59,5029.03,98.5593,1.9598
2010-04-22,5014.71,5101.70,4983.89,5060.75,99.9343,1.9747
2010-04-23,5047.73,5092.53,4985.30,5007.60,100.4554,2.0061
2010-04-26,5010.75,5027.58,4975.97,4999.06,96.9665,1.9397
2010-04-27,4980.26,4980.26,4775.24,4869.61,106.0275,2.1773
2010-04-28,4797.18,4888.72,4776.87,4834.79,106.4434,2.2016
2010-04-29,4840.27,4872.15,4686.54,4686.94,112.0981,2.3917
2010-04-30,4660.72,4666.54,4446.61,4527.76,121.2575,2.6781
2010-05-04,4440.05,4561.57,4406.26,4520.36,123.6899,2.7363
2010-05-05,4469.48,4663.09,4469.48,4662.84,128.6841,2.7598
2010-05-06,4647.98,4685.91,4531.56,4533.90,130.5174,2.8787
2010-05-07,4425.17,4544.40,4395.61,4453.17,131.8226,2.9602
2010-05-10,4445.12,4492.48,4279.21,4367.27,137.6403,3.1516
2010-05-11,4445.28,4465.54,4225.82,4239.79,144.9317,3.4184
2010-05-12,4203.75,4251.88,4073.10,4134.52,147.3494,3.5639
2010-05-13,4131.42,4236.40,4044.52,4236.40,150.5302,3.5533
2010-05-14,4204.46,4292.14,4178.97,4257.81,147.8616,3.4727
2010-05-17,4202.32,4202.32,3981.20,3981.29,157.0579,3.9449
2010-05-18,3954.47,4022.24,3852.67,4007.42,157.9516,3.9415
2010-05-19,3980.12,4065.78,3939.08,4007.16,155.7194,3.8860
2010-05-20,3972.05,4047.39,3908.76,3918.58,154.4987,3.9427
2010-05-21,3802.06,3993.74,3779.69,3993.74,158.7524,3.9750
2010-05-24,4022.89,4191.25,4022.89,4179.35,161.5208,3.8647
2010-05-25,4154.30,4201.22,4118.44,4169.41,155.8964,3.7391
2010-05-26,4153.68,4202.21,4139.92,4182.71,149.2103,3.5673
2010-05-27,4171.49,4272.79,4126.04,4264.16,149.0345,3.4950
2010-05-28,4297.02,4309.41,4248.63,4281.09,142.7306,3.3340
2010-05-31,4262.43,4306.73,4149.96,4149.96,143.7334,3.4635
2010-06-01,4108.79,4134.70,3967.33,4061.45,146.5118,3.6074
2010-06-02,4043.22,4129.53,4006.13,4129.53,144.8609,3.5079
2010-06-03,4145.08,4195.22,4098.05,4098.90,141.4544,3.4510
2010-06-04,4068.77,4138.02,4057.52,4133.33,137.1005,3.3170
2010-06-07,4044.27,4128.91,4026.96,4119.62,134.9055,3.2747
2010-06-08,4113.05,4183.31,4112.36,4180.62,130.3373,3.1177
2010-06-09,4192.70,4288.90,4190.33,4288.90,128.7617,3.0022
2010-06-10,4269.69,4328.45,4269.69,4297.88,123.7616,2.8796
2010-06-11,4311.43,4327.65,4272.39,4277.14,118.8686,2.7792
2010-06-17,4300.10,4319.79,4230.97,4231.55,116.7223,2.7584
2010-06-18,4220.80,4220.80,4041.61,4067.74,121.9521,2.9980
2010-06-21,4047.85,4169.36,4014.36,4169.36,124.3127,2.9816
2010-06-22,4166.48,4221.82,4155.94,4207.43,120.1389,2.8554
2010-06-23,4188.60,4238.03,4144.63,4205.53,118.2290,2.8113
2010-06-24,4198.99,4227.28,4173.12,4207.91,113.6527,2.7009
2010-06-25,4189.72,4194.71,4100.57,4139.81,113.2018,2.7345
2010-06-28,4133.04,4137.61,4037.91,4053.19,112.3945,2.7730
2010-06-29,4049.75,4066.90,3814.47,3814.47,122.3970,3.2088
2010-06-30,3771.69,3771.69,3687.95,3732.65,122.6915,3.2870
2010-07-01,3722.41,3760.66,3676.60,3685.54,119.9321,3.2541
2010-07-02,3676.01,3678.62,3492.26,3659.95,125.1713,3.4200
2010-07-05,3614.05,3652.79,3562.73,3627.29,123.1747,3.3958
2010-07-06,3617.51,3738.74,3616.42,3738.74,123.1137,3.2929
