date,open,high,low,close
2021-06-21,6844.34,6970.64,6833.36,6968.30
2021-06-22,6987.51,7010.62,6947.87,7000.25
2021-06-23,6997.41,7060.40,6978.77,7046.17
2021-06-24,7045.05,7045.05,6969.55,6974.64
2021-06-25,6975.49,7016.08,6947.12,7000.43
2021-06-28,7007.43,7081.05,7005.93,7063.47
2021-06-29,7068.40,7082.07,6999.75,7004.30
2021-06-30,7011.18,7083.99,7004.75,7083.70
2021-07-01,7094.19,7099.13,6969.53,6969.53
2021-07-02,6947.45,6960.48,6891.47,6908.93
2021-07-05,6930.26,7006.72,6930.26,7006.70
2021-07-06,7013.99,7045.19,6885.09,6979.06
2021-07-07,6932.94,7093.05,6913.50,7089.66
2021-07-08,7102.67,7138.76,7082.39,7099.41
2021-07-09,7064.99,7165.88,7000.59,7142.90
2021-07-12,7184.09,7301.10,7171.04,7284.23
2021-07-13,7285.96,7331.73,7263.16,7331.73
2021-07-14,7301.61,7338.31,7240.98,7243.82
2021-07-15,7218.34,7250.03,7103.97,7241.62
2021-07-16,7230.85,7311.45,7214.04,7228.36
2021-07-19,7213.63,7259.03,7174.11,7205.27
2021-07-20,7145.54,7253.37,7137.89,7253.28
2021-07-21,7285.41,7416.47,7285.41,7398.81
2021-07-22,7405.65,7447.03,7349.13,7446.48
2021-07-23,7442.62,7473.14,7348.32,7379.79
2021-07-26,7368.13,7395.27,7140.73,7286.15
2021-07-27,7298.33,7373.09,7093.86,7093.87
2021-07-28,7019.05,7058.51,6750.59,6945.51
2021-07-29,7057.88,7226.50,7057.88,7207.48
2021-07-30,7209.04,7279.06,7155.22,7262.38
2021-08-02,7264.37,7402.40,7248.89,7402.35
2021-08-03,7375.22,7419.34,7284.18,7308.96
2021-08-04,7295.57,7478.21,7295.45,7478.21
2021-08-05,7454.28,7494.33,7402.38,7447.94
2021-08-06,7462.86,7490.98,7419.73,7482.17
2021-08-09,7459.35,7509.33,7386.31,7507.08
2021-08-10,7489.16,7566.73,7467.06,7549.55
2021-08-11,7538.82,7611.65,7498.58,7605.92
2021-08-12,7595.26,7677.74,7588.74,7657.53
2021-08-13,7635.49,7724.44,7605.86,7641.92
2021-08-16,7628.16,7633.66,7546.54,7568.14
2021-08-17,7559.30,7578.43,7338.02,7360.03
2021-08-18,7352.97,7454.03,7338.82,7405.49
2021-08-19,7387.44,7511.19,7330.60,7468.77
2021-08-20,7438.70,7505.55,7354.17,7467.36
2021-08-23,7501.41,7668.89,7501.41,7652.56
2021-08-24,7654.19,7737.60,7614.94,7715.07
2021-08-25,7707.09,7769.70,7664.29,7769.63
2021-08-26,7754.68,7771.85,7662.38,7669.53
2021-08-27,7634.93,7686.34,7584.28,7680.08
2021-08-30,7701.42,7792.52,7687.15,7727.75
2021-08-31,7714.17,7728.42,7636.77,7728.42
2021-09-01,7738.27,7743.18,7495.76,7606.87
2021-09-02,7572.05,7703.72,7568.07,7690.86
2021-09-03,7696.46,7766.46,7561.23,7630.84
2021-09-06,7625.74,7735.55,7552.95,7735.10
2021-09-07,7735.22,7881.87,7718.59,7878.35
2021-09-08,7886.27,7911.02,7854.89,7894.25
2021-09-09,7888.83,7922.41,7835.15,7900.24
2021-09-10,7897.33,7954.48,7832.96,7932.65
2021-09-13,7941.21,7955.98,7875.00,7947.48
2021-09-14,7927.89,8042.52,7895.18,7916.90
2021-09-15,7900.69,7988.37,7862.31,7972.23
2021-09-16,7974.08,7993.22,7749.66,7754.95
2021-09-17,7740.56,7786.19,7575.08,7730.22
2021-09-22,7640.47,7774.51,7633.28,7769.06
2021-09-23,7818.73,7850.24,7792.59,7806.80
